,Unnamed: 0,block_id,previous_solution,timeout,solver_time_in_sec,outcome,initial_n_instrs,model_found,shown_optimal,initial_length,used_bound,saved_length,solution_found,optimized_n_instrs,optimized_length,rules
0,0,folder3_json_14,"i32.load8_s[5,1] i32.store[5,5] local.set[local_index(0)]",10,0.014,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_15,"local.get[local_index(1)] i32.sub i32.load16_s[5,0]",10,0.014,model,3,True,True,3,3,0,local.get[local_index(1)] i32.sub i32.load16_s,3.0,3.0,
0,0,folder3_json_16,"i32.load8_u[4,2] i32.load8_s[1,0] i32.store16[5,3]",10,0.012,model,3,True,True,3,3,0,i32.load8_u i32.load8_s i32.store16,3.0,3.0,
0,0,folder3_json_17,local.tee[local_index(0)] local.set[local_index(0)] local.get[local_index(1)],10,0.011,model,3,True,True,3,3,1,local.set[local_index(0)] local.get[local_index(1)],2.0,2.0,
0,0,folder3_json_18,"i32.load8_s[5,2] i32.store[4,2] local.tee[local_index(0)]",10,0.012,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_19,"i32.add i32.load[5,2] i32.const[21]",10,0.013,model,3,True,True,3,3,0,i32.add i32.load i32.const[21],3.0,3.0,
0,0,folder3_json_20,"i32.const[80] i32.store16[3,2] i32.add",10,0.015,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_21,"local.get[local_index(1)] i32.load16_u[3,0] i32.load16_s[1,3]",10,0.011,model,3,True,True,3,3,0,local.get[local_index(1)] i32.load16_u i32.load16_s,3.0,3.0,
0,0,folder3_json_22,"call[function_index(0)] i32.load8_u[5,4] local.get[local_index(0)]",10,0.014,model,3,True,True,3,3,0,call[function_index(0)] i32.load8_u local.get[local_index(0)],3.0,3.0,
0,0,folder3_json_23,"local.set[local_index(0)] i32.load16_u[3,0] local.tee[local_index(0)]",10,0.012,model,3,True,True,3,3,0,drop i32.load16_u local.tee[local_index(0)],3.0,3.0,
0,0,folder3_json_24,"i32.add i32.load8_s[3,3] local.tee[local_index(1)]",10,0.013,model,3,True,True,3,3,0,i32.add i32.load8_s local.tee[local_index(1)],3.0,3.0,
0,0,folder3_json_25,local.set[local_index(0)] local.tee[local_index(1)] i32.add,10,0.012,model,3,True,True,3,3,0,local.set[local_index(0)] local.tee[local_index(1)] i32.add,3.0,3.0,
0,0,folder3_json_26,"local.get[local_index(0)] local.set[local_index(0)] i32.load8_s[0,5]",10,0.009,model,3,True,True,3,3,2,i32.load8_s,1.0,1.0,
0,0,folder3_json_27,"i32.load16_u[1,2] i32.add call[function_index(0)]",10,0.014,model,3,True,True,3,3,0,i32.load16_u i32.add call[function_index(0)],3.0,3.0,
0,0,folder3_json_28,"i32.store16[1,1] i32.store16[4,5] i32.store[3,2]",10,0.015,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_29,"i32.store[0,4] local.set[local_index(0)] local.set[local_index(0)]",10,0.013,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_30,"local.set[local_index(0)] i32.load16_s[0,3] local.get[local_index(0)]",10,0.012,model,3,True,True,3,3,0,local.set[local_index(0)] i32.load16_s local.get[local_index(0)],3.0,3.0,
0,0,folder3_json_31,"local.get[local_index(1)] i32.load16_u[2,1] i32.load8_u[0,1]",10,0.011,model,3,True,True,3,3,0,local.get[local_index(1)] i32.load16_u i32.load8_u,3.0,3.0,
0,0,folder3_json_32,"local.set[local_index(0)] i32.const[18] i32.load[2,4]",10,0.01,model,3,True,True,3,3,0,local.set[local_index(0)] i32.const[18] i32.load,3.0,3.0,
0,0,folder3_json_33,"local.get[local_index(1)] i32.load16_u[4,0] local.get[local_index(1)]",10,0.01,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_34,i32.add i32.sub local.set[local_index(0)],10,0.013,model,3,True,True,3,3,0,i32.add i32.sub local.set[local_index(0)],3.0,3.0,
0,0,folder3_json_35,local.get[local_index(1)] i32.const[81] local.tee[local_index(0)],10,0.011,model,3,True,True,3,3,0,local.get[local_index(1)] i32.const[81] local.tee[local_index(0)],3.0,3.0,
0,0,folder3_json_36,local.set[local_index(0)] local.tee[local_index(1)] local.set[local_index(1)],10,0.013,model,3,True,True,3,3,1,local.set[local_index(0)] local.set[local_index(1)],2.0,2.0,
0,0,folder3_json_37,local.tee[local_index(0)] local.get[local_index(1)] i32.sub,10,0.011,model,3,True,True,3,3,0,local.tee[local_index(0)] local.get[local_index(1)] i32.sub,3.0,3.0,
0,0,folder3_json_38,"local.set[local_index(1)] i32.load16_u[0,4] i32.load16_s[1,1]",10,0.015,model,3,True,True,3,3,0,local.set[local_index(1)] i32.load16_u i32.load16_s,3.0,3.0,
0,0,folder3_json_39,"local.tee[local_index(1)] i32.load8_s[0,5] local.set[local_index(0)]",10,0.013,model,3,True,True,3,3,0,local.tee[local_index(1)] i32.load8_s local.set[local_index(0)],3.0,3.0,
0,0,folder3_json_40,call[function_index(0)] local.get[local_index(1)] i32.add,10,0.013,model,3,True,True,3,3,0,call[function_index(0)] local.get[local_index(1)] i32.add,3.0,3.0,
0,0,folder3_json_41,"i32.add i32.load[2,2] i32.load[4,2]",10,0.012,model,3,True,True,3,3,0,i32.add i32.load i32.load,3.0,3.0,
0,0,folder3_json_42,"local.set[local_index(0)] i32.load8_s[1,5] call[function_index(0)]",10,0.017,model,3,True,True,3,3,0,local.set[local_index(0)] i32.load8_s call[function_index(0)],3.0,3.0,
0,0,folder3_json_43,"local.get[local_index(0)] i32.load8_s[3,1] call[function_index(0)]",10,0.014,model,3,True,True,3,3,0,local.get[local_index(0)] i32.load8_s call[function_index(0)],3.0,3.0,
0,0,folder3_json_44,"call[function_index(0)] i32.load8_u[2,1] i32.store[4,0]",10,0.015,model,3,True,True,3,3,0,call[function_index(0)] i32.load8_u i32.store,3.0,3.0,
0,0,folder3_json_45,"i32.load16_u[5,4] local.tee[local_index(0)] local.set[local_index(0)]",10,0.012,model,3,True,True,3,3,1,i32.load16_u local.set[local_index(0)],2.0,2.0,
0,0,folder3_json_46,"i32.store8[5,2] i32.load[4,4] i32.load16_s[3,4]",10,0.011,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_47,"i32.store8[2,3] local.tee[local_index(1)] local.tee[local_index(1)]",10,0.013,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_48,"local.get[local_index(1)] local.set[local_index(1)] i32.store[1,3]",10,0.01,model,3,True,True,3,3,2,i32.store,1.0,1.0,
0,0,folder3_json_49,"i32.load16_u[3,1] local.tee[local_index(1)] local.get[local_index(1)]",10,0.011,model,3,True,True,3,3,0,i32.load16_u local.tee[local_index(1)] local.get[local_index(1)],3.0,3.0,
0,0,folder3_json_50,local.tee[local_index(0)] local.get[local_index(0)] local.set[local_index(0)],10,0.01,model,3,True,True,3,3,2,local.tee[local_index(0)],1.0,1.0,
0,0,folder3_json_51,local.set[local_index(0)] i32.sub local.set[local_index(1)],10,0.015,model,3,True,True,3,3,0,local.set[local_index(0)] i32.sub local.set[local_index(1)],3.0,3.0,
0,0,folder3_json_52,"local.set[local_index(1)] i32.store8[5,0] i32.load16_s[3,0]",10,0.015,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_53,"i32.load8_u[0,0] i32.sub i32.load[1,1]",10,0.013,model,3,True,True,3,3,0,i32.load8_u i32.sub i32.load,3.0,3.0,
0,0,folder3_json_54,"i32.load16_s[0,5] i32.load16_s[1,4] i32.load16_u[3,5]",10,0.012,model,3,True,True,3,3,0,i32.load16_s i32.load16_s i32.load16_u,3.0,3.0,
0,0,folder3_json_55,"i32.load[1,0] local.set[local_index(1)] i32.load[4,0]",10,0.012,model,3,True,True,3,3,0,i32.load local.set[local_index(1)] i32.load,3.0,3.0,
0,0,folder3_json_56,"i32.store16[4,5] i32.load16_s[4,4] local.set[local_index(0)]",10,0.014,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_57,"i32.store16[2,3] local.get[local_index(0)] local.get[local_index(0)]",10,0.012,model,3,True,True,3,3,0,i32.store16 local.get[local_index(0)] local.get[local_index(0)],3.0,3.0,
0,0,folder3_json_58,"local.get[local_index(0)] local.set[local_index(1)] i32.load16_s[4,5]",10,0.011,model,3,True,True,3,3,0,local.get[local_index(0)] local.set[local_index(1)] i32.load16_s,3.0,3.0,
0,0,folder3_json_59,"local.set[local_index(0)] i32.store[3,1] i32.load8_s[5,0]",10,0.013,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_60,"i32.load8_s[5,1] local.set[local_index(0)] i32.add",10,0.017,model,3,True,True,3,3,0,i32.load8_s local.set[local_index(0)] i32.add,3.0,3.0,
0,0,folder3_json_61,"i32.store[1,3] i32.load8_s[4,4] local.get[local_index(1)]",10,0.011,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_62,"local.set[local_index(0)] i32.load16_u[2,0] i32.store16[2,4]",10,0.015,model,3,True,True,3,3,0,local.set[local_index(0)] i32.load16_u i32.store16,3.0,3.0,
0,0,folder3_json_63,"call[function_index(0)] i32.store[1,2] local.tee[local_index(1)]",10,0.014,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_64,"i32.const[85] i32.load16_s[4,3] i32.const[78]",10,0.01,model,3,True,True,3,3,0,i32.const[85] i32.load16_s i32.const[78],3.0,3.0,
0,0,folder3_json_65,i32.const[38] local.tee[local_index(1)] local.set[local_index(1)],10,0.011,model,3,True,True,3,3,1,i32.const[38] local.set[local_index(1)],2.0,2.0,
0,0,folder3_json_66,"local.tee[local_index(0)] local.set[local_index(1)] i32.load16_s[4,0]",10,0.012,model,3,True,True,3,3,0,local.tee[local_index(0)] local.set[local_index(1)] i32.load16_s,3.0,3.0,
0,0,folder3_json_67,"i32.load8_s[1,0] i32.store16[2,0] local.get[local_index(1)]",10,0.04,model,3,True,True,3,3,0,i32.load8_s i32.store16 local.get[local_index(1)],3.0,3.0,
0,0,folder3_json_68,"i32.sub i32.store[4,3] i32.add",10,0.016,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_69,"call[function_index(0)] i32.load8_s[3,3] i32.load[5,5]",10,0.011,model,3,True,True,3,3,0,call[function_index(0)] i32.load8_s i32.load,3.0,3.0,
0,0,folder3_json_70,"i32.store16[3,3] local.get[local_index(1)] local.get[local_index(1)]",10,0.011,model,3,True,True,3,3,0,i32.store16 local.get[local_index(1)] local.get[local_index(1)],3.0,3.0,
0,0,folder3_json_71,"i32.load[4,3] i32.store16[0,5] i32.load8_s[2,3]",10,0.012,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_72,local.tee[local_index(0)] local.get[local_index(1)] local.get[local_index(1)],10,0.013,model,3,True,True,3,3,0,local.tee[local_index(0)] local.get[local_index(1)] local.get[local_index(1)],3.0,3.0,
0,0,folder3_json_73,"local.get[local_index(0)] i32.load16_u[0,5] i32.const[30]",10,0.012,model,3,True,True,3,3,0,local.get[local_index(0)] i32.load16_u i32.const[30],3.0,3.0,
0,0,folder3_json_74,"i32.load8_u[3,0] local.get[local_index(1)] call[function_index(0)]",10,0.012,model,3,True,True,3,3,0,i32.load8_u local.get[local_index(1)] call[function_index(0)],3.0,3.0,
0,0,folder3_json_75,"local.set[local_index(1)] i32.load8_u[2,3] local.get[local_index(1)]",10,0.014,model,3,True,True,3,3,0,local.set[local_index(1)] i32.load8_u local.get[local_index(1)],3.0,3.0,
0,0,folder3_json_76,"local.set[local_index(1)] local.tee[local_index(1)] i32.load8_u[1,1]",10,0.012,model,3,True,True,3,3,0,drop local.tee[local_index(1)] i32.load8_u,3.0,3.0,
0,0,folder3_json_77,"i32.sub local.tee[local_index(0)] i32.load8_u[1,1]",10,0.012,model,3,True,True,3,3,0,i32.sub local.tee[local_index(0)] i32.load8_u,3.0,3.0,
0,0,folder3_json_78,"i32.load16_u[1,0] local.tee[local_index(1)] local.get[local_index(1)]",10,0.012,model,3,True,True,3,3,0,i32.load16_u local.tee[local_index(1)] local.get[local_index(1)],3.0,3.0,
0,0,folder3_json_79,"i32.load16_u[0,4] local.set[local_index(1)] i32.load16_u[5,0]",10,0.014,model,3,True,True,3,3,0,i32.load16_u local.set[local_index(1)] i32.load16_u,3.0,3.0,
0,0,folder3_json_80,local.tee[local_index(1)] i32.sub local.tee[local_index(0)],10,0.014,model,3,True,True,3,3,0,local.tee[local_index(1)] i32.sub local.tee[local_index(0)],3.0,3.0,
0,0,folder3_json_81,"i32.load16_s[3,5] local.set[local_index(0)] i32.add",10,0.015,model,3,True,True,3,3,0,i32.load16_s local.set[local_index(0)] i32.add,3.0,3.0,
0,0,folder3_json_82,local.set[local_index(1)] local.set[local_index(0)] local.tee[local_index(1)],10,0.013,model,3,True,True,3,3,0,drop local.set[local_index(0)] local.tee[local_index(1)],3.0,3.0,
0,0,folder3_json_83,"local.get[local_index(1)] i32.load8_u[4,5] local.get[local_index(0)]",10,0.01,model,3,True,True,3,3,0,local.get[local_index(1)] i32.load8_u local.get[local_index(0)],3.0,3.0,
0,0,folder3_json_84,"i32.load8_u[2,5] i32.store8[2,5] local.get[local_index(1)]",10,0.01,model,3,True,True,3,3,0,i32.load8_u i32.store8 local.get[local_index(1)],3.0,3.0,
0,0,folder3_json_85,"i32.load8_u[2,3] i32.load[3,4] local.set[local_index(0)]",10,0.012,model,3,True,True,3,3,0,i32.load8_u i32.load local.set[local_index(0)],3.0,3.0,
0,0,folder3_json_86,i32.const[22] local.set[local_index(1)] local.get[local_index(1)],10,0.012,model,3,True,True,3,3,1,i32.const[22] local.tee[local_index(1)],2.0,2.0,
0,0,folder3_json_87,"local.get[local_index(0)] i32.store[4,3] i32.add",10,0.012,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_88,local.get[local_index(1)] local.set[local_index(0)] call[function_index(0)],10,0.01,model,3,True,True,3,3,0,local.get[local_index(1)] local.set[local_index(0)] call[function_index(0)],3.0,3.0,
0,0,folder3_json_89,"i32.store[5,1] i32.store16[3,3] i32.load16_s[5,2]",10,0.013,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_90,"i32.store16[3,1] local.get[local_index(1)] i32.store[5,0]",10,0.011,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_91,"local.set[local_index(0)] local.set[local_index(1)] i32.load8_s[3,2]",10,0.012,model,3,True,True,3,3,0,local.set[local_index(0)] local.set[local_index(1)] i32.load8_s,3.0,3.0,
0,0,folder3_json_92,local.set[local_index(1)] local.tee[local_index(0)] i32.add,10,0.016,model,3,True,True,3,3,0,local.set[local_index(1)] local.tee[local_index(0)] i32.add,3.0,3.0,
0,0,folder3_json_93,"i32.load8_u[1,5] local.set[local_index(0)] i32.load[3,2]",10,0.012,model,3,True,True,3,3,0,i32.load8_u local.set[local_index(0)] i32.load,3.0,3.0,
0,0,folder3_json_94,"i32.load8_s[4,2] i32.store16[2,1] i32.const[2]",10,0.011,model,3,True,True,3,3,0,i32.load8_s i32.store16 i32.const[2],3.0,3.0,
0,0,folder3_json_95,"local.tee[local_index(0)] local.tee[local_index(1)] i32.load16_s[2,4]",10,0.014,model,3,True,True,3,3,0,local.tee[local_index(1)] local.tee[local_index(0)] i32.load16_s,3.0,3.0,
0,0,folder3_json_96,"i32.load16_s[4,3] local.set[local_index(0)] i32.load16_u[2,0]",10,0.012,model,3,True,True,3,3,0,i32.load16_s local.set[local_index(0)] i32.load16_u,3.0,3.0,
0,0,folder3_json_97,"local.set[local_index(1)] i32.load16_s[4,0] local.get[local_index(0)]",10,0.012,model,3,True,True,3,3,0,local.set[local_index(1)] i32.load16_s local.get[local_index(0)],3.0,3.0,
0,0,folder3_json_98,i32.add local.get[local_index(1)] local.tee[local_index(1)],10,0.013,model,3,True,True,3,3,1,i32.add local.get[local_index(1)],2.0,2.0,
0,0,folder3_json_99,"i32.store16[1,4] local.set[local_index(0)] i32.load16_s[0,4]",10,0.016,unsat,3,False,False,3,3,0,,,,
0,0,folder4_json_0,"i32.load8_s[1,0] local.tee[local_index(1)] i32.store16[2,1] call[function_index(0)]",10,0.015,model,4,True,True,4,4,0,i32.load8_s local.tee[local_index(1)] i32.store16 call[function_index(0)],4.0,4.0,
0,0,folder4_json_1,"i32.add i32.load16_s[1,1] i32.const[76] local.tee[local_index(0)]",10,0.017,model,4,True,True,4,4,0,i32.add i32.load16_s i32.const[76] local.tee[local_index(0)],4.0,4.0,
0,0,folder4_json_2,"i32.load16_s[4,5] call[function_index(0)] i32.load16_s[1,3] i32.load8_s[5,2]",10,0.018,model,4,True,True,4,4,0,i32.load16_s call[function_index(0)] i32.load16_s i32.load8_s,4.0,4.0,
0,0,folder4_json_3,"i32.store16[3,5] i32.load16_s[0,1] i32.load[2,0] i32.store8[4,3]",10,0.015,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_4,"local.set[local_index(1)] i32.load[4,5] local.set[local_index(1)] local.get[local_index(0)]",10,0.018,model,4,True,True,4,4,0,drop i32.load local.set[local_index(1)] local.get[local_index(0)],4.0,4.0,
0,0,folder4_json_5,"i32.load16_s[5,0] local.get[local_index(1)] i32.load16_s[1,0] local.tee[local_index(0)]",10,0.017,model,4,True,True,4,4,0,i32.load16_s local.get[local_index(1)] i32.load16_s local.tee[local_index(0)],4.0,4.0,
0,0,folder4_json_6,"local.set[local_index(1)] local.tee[local_index(0)] local.set[local_index(1)] i32.load[1,0]",10,0.016,model,4,True,True,4,4,0,drop local.tee[local_index(0)] local.set[local_index(1)] i32.load,4.0,4.0,
0,0,folder4_json_7,"local.set[local_index(0)] i32.store8[1,3] i32.load8_u[1,2] i32.load16_s[0,4]",10,0.017,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_8,"i32.store16[3,0] i32.load[2,1] i32.sub i32.load16_u[5,4]",10,0.019,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_9,"i32.store16[0,2] local.set[local_index(0)] i32.store8[3,3] i32.store[1,0]",10,0.019,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_10,"local.set[local_index(1)] i32.load8_u[0,4] i32.load16_u[4,4] i32.load16_u[3,3]",10,0.014,model,4,True,True,4,4,0,local.set[local_index(1)] i32.load8_u i32.load16_u i32.load16_u,4.0,4.0,
0,0,folder4_json_11,"i32.load8_s[5,0] local.set[local_index(0)] i32.load[1,3] i32.store16[1,2]",10,0.015,model,4,True,True,4,4,0,i32.load8_s local.set[local_index(0)] i32.load i32.store16,4.0,4.0,
0,0,folder4_json_12,"local.tee[local_index(0)] local.set[local_index(0)] i32.load8_s[1,2] i32.load16_u[4,1]",10,0.017,model,4,True,True,4,4,1,local.set[local_index(0)] i32.load8_s i32.load16_u,3.0,3.0,
0,0,folder4_json_13,"i32.load16_s[3,3] local.tee[local_index(1)] i32.load[1,0] i32.store8[1,3]",10,0.017,model,4,True,True,4,4,0,i32.load16_s local.tee[local_index(1)] i32.load i32.store8,4.0,4.0,
0,0,folder4_json_14,"i32.load16_u[2,3] local.set[local_index(1)] local.tee[local_index(0)] local.tee[local_index(0)]",10,0.018,model,4,True,True,4,4,1,i32.load16_u local.set[local_index(1)] local.tee[local_index(0)],3.0,3.0,
0,0,folder4_json_15,"i32.store8[4,4] local.set[local_index(1)] local.set[local_index(0)] i32.store16[4,5]",10,0.025,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_16,"i32.store16[3,5] i32.store[3,3] local.tee[local_index(1)] i32.store8[4,0]",10,0.019,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_17,"local.tee[local_index(1)] i32.load8_s[0,3] i32.load[3,4] local.set[local_index(1)]",10,0.013,model,4,True,True,4,4,1,i32.load8_s i32.load local.set[local_index(1)],3.0,3.0,
0,0,folder4_json_18,"i32.store[0,3] i32.load16_u[5,0] call[function_index(0)] i32.load16_u[3,1]",10,0.018,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_19,"i32.const[55] i32.load8_s[2,5] local.get[local_index(0)] i32.load8_u[3,4]",10,0.015,model,4,True,True,4,4,0,i32.const[55] i32.load8_s local.get[local_index(0)] i32.load8_u,4.0,4.0,
0,0,folder4_json_20,"i32.store16[0,0] local.get[local_index(0)] i32.load16_s[5,4] i32.load8_s[5,4]",10,0.016,model,4,True,True,4,4,0,i32.store16 local.get[local_index(0)] i32.load16_s i32.load8_s,4.0,4.0,
0,0,folder4_json_21,local.get[local_index(0)] call[function_index(0)] local.set[local_index(1)] local.get[local_index(1)],10,0.017,model,4,True,True,4,4,1,local.get[local_index(0)] call[function_index(0)] local.tee[local_index(1)],3.0,3.0,
0,0,folder4_json_22,"i32.const[75] i32.store16[3,2] i32.load[2,2] i32.store16[2,5]",10,0.013,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_23,"call[function_index(0)] i32.load8_u[3,0] local.set[local_index(1)] i32.load[1,2]",10,0.016,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_24,"i32.sub local.set[local_index(1)] local.set[local_index(0)] i32.store8[2,4]",10,0.022,model,4,True,True,4,4,0,i32.sub local.set[local_index(1)] local.set[local_index(0)] i32.store8,4.0,4.0,
0,0,folder4_json_25,"local.get[local_index(1)] local.get[local_index(0)] i32.store16[0,0] local.set[local_index(1)]",10,0.012,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_26,"local.get[local_index(1)] i32.add i32.store16[0,5] i32.load[4,4]",10,0.012,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_27,"local.tee[local_index(1)] local.get[local_index(0)] i32.load16_s[3,1] i32.add",10,0.018,model,4,True,True,4,4,0,local.tee[local_index(1)] local.get[local_index(0)] i32.load16_s i32.add,4.0,4.0,
0,0,folder4_json_28,"local.set[local_index(1)] i32.store16[4,0] i32.load16_s[3,4] local.tee[local_index(1)]",10,0.018,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_29,"local.set[local_index(0)] i32.load8_s[1,4] i32.const[31] call[function_index(0)]",10,0.015,model,4,True,True,4,4,0,local.set[local_index(0)] i32.load8_s i32.const[31] call[function_index(0)],4.0,4.0,
0,0,folder4_json_30,"i32.const[1] i32.store[5,5] local.tee[local_index(0)] local.set[local_index(0)]",10,0.014,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_31,local.get[local_index(0)] local.set[local_index(1)] local.get[local_index(0)] call[function_index(0)],10,0.01,model,4,True,True,4,4,0,local.get[local_index(0)] call[function_index(0)] local.get[local_index(0)] local.set[local_index(1)],4.0,4.0,
0,0,folder4_json_32,"local.get[local_index(0)] i32.store[4,1] i32.add local.get[local_index(1)]",10,0.016,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_33,"i32.load8_s[4,1] i32.const[36] i32.store16[3,3] i32.load8_u[5,5]",10,0.012,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_34,"call[function_index(0)] i32.sub i32.store8[4,1] i32.store16[5,3]",10,0.02,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_35,"call[function_index(0)] i32.load8_s[2,5] i32.sub i32.load8_s[4,3]",10,0.014,model,4,True,True,4,4,0,call[function_index(0)] i32.load8_s i32.sub i32.load8_s,4.0,4.0,
0,0,folder4_json_36,"local.tee[local_index(0)] i32.store[3,2] local.tee[local_index(0)] local.get[local_index(0)]",10,0.012,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_37,"call[function_index(0)] i32.load[5,5] i32.load8_s[2,3] i32.load8_u[2,5]",10,0.018,model,4,True,True,4,4,0,call[function_index(0)] i32.load i32.load8_s i32.load8_u,4.0,4.0,
0,0,folder4_json_38,"i32.load8_u[1,4] i32.store[1,3] local.get[local_index(0)] i32.store[2,3]",10,0.011,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_39,"i32.load8_s[4,2] local.tee[local_index(0)] i32.load8_s[5,3] local.tee[local_index(1)]",10,0.016,model,4,True,True,4,4,0,i32.load8_s local.tee[local_index(0)] i32.load8_s local.tee[local_index(1)],4.0,4.0,
0,0,folder4_json_40,"i32.load8_s[4,1] i32.const[77] i32.load8_u[3,3] local.set[local_index(1)]",10,0.014,model,4,True,True,4,4,0,i32.const[77] i32.load8_u local.set[local_index(1)] i32.load8_s,4.0,4.0,
0,0,folder4_json_41,"i32.store16[5,5] i32.load8_u[2,0] i32.load[3,3] i32.store16[0,5]",10,0.014,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_42,"i32.const[84] i32.store8[4,0] i32.load8_u[5,1] i32.store[1,1]",10,0.017,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_43,"i32.const[61] i32.load[5,0] i32.store[0,4] i32.store8[1,1]",10,0.014,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_44,"i32.load16_u[3,5] i32.store8[5,2] i32.load[1,5] i32.const[17]",10,0.016,unsat,4,False,False,4,4,0,,,,
0,0,folder4_json_45,"i32.load[2,1] i32.load8_u[2,4] i32.load[5,4] local.tee[local_index(1)]",10,0.01,model,4,True,True,4,4,0,i32.load i32.load8_u i32.load local.tee[local_index(1)],4.0,4.0,
